agent_id,name,tier,relationship_status,compliance_risk,hq_city,coverage_cities,services,primary_markets,program_focus,profile_path,notes,as_of
ag-ro-bucharest-integraledu,IntegralEdu Romania,tier_1,ready_to_activate,moderate,Bucharest,Bucharest;Cluj-Napoca;Iasi;Timisoara;Constanta,placements;events;scholarship_guidance;visa_support,CY;GR;UK;NL;DE;AT;ES,medicine;business;cs_it;design_creative;hospitality;aviation,countries/romania/entities/agents/profiles/integraledu-romania.md,Fair operator needs sub-agent disclosure and GDPR proof.,2025-12-22
ag-ro-bucharest-edmundo,EDMUNDO Romania,tier_1,ready_to_activate,moderate,Bucharest,Bucharest;Cluj-Napoca;Iasi;Timisoara;Brasov;Constanta,placements;events;scholarship_guidance;visa_support;application_editing,CY;GR;UK;NL;DE;ES,business;cs_it;design_creative;health_sciences,countries/romania/entities/agents/profiles/edmundo.md,Digital funnel at scale verify counselor certifications and sub-agent policy.,2025-12-22
ag-ro-bucharest-universalio,Universalio Romania,tier_1,ready_to_activate,low,Bucharest,Bucharest;Cluj-Napoca;Iasi;Timisoara,placements;application_editing;scholarship_guidance;test_prep,CY;GR;UK;NL;DE;CH;US,medicine;business;cs_it;data_ai;design_creative;law,countries/romania/entities/agents/profiles/universalio.md,Boutique arm align fee plus commission mix before launch.,2025-12-22
ag-ro-bucharest-mirunette,Mirunette International Education,tier_2,training_required,moderate,Bucharest,Bucharest;Cluj-Napoca;Iasi;Brasov,placements;events;visa_support;scholarship_guidance,CY;GR;UK;NL;DE;ES,business;cs_it;design_creative;health_sciences,countries/romania/entities/agents/profiles/mirunette.md,Summer pipeline verify counselor credentials and GDPR for minors.,2025-12-22
ag-ro-bucharest-student-travel,Student Travel Romania,tier_2,training_required,moderate,Bucharest,Bucharest;Constanta;Cluj-Napoca;Iasi;Timisoara,placements;visa_support;events;accommodation,CY;GR;UK;US;CA,business;hospitality;cs_it;health_sciences,countries/romania/entities/agents/profiles/student-travel.md,Split work travel and degree messaging before campaigns.,2025-12-22
ag-ro-bucharest-ok-student,OK Student Romania,tier_2,training_required,moderate,Bucharest,Bucharest;Cluj-Napoca;Iasi;Timisoara,placements;visa_support;application_editing;accommodation,CY;GR;UK;ES;PT,business;design_creative;cs_it;health_sciences,countries/romania/entities/agents/profiles/ok-student-romania.md,UK loan messaging needs EU compliant scripts.,2025-12-22
ag-ro-bucharest-upgrade-education,Upgrade Education,tier_2,training_required,moderate,Bucharest,Bucharest;Cluj-Napoca;Iasi,placements;application_editing;test_prep;scholarship_guidance,CY;GR;UK;US;NL,business;finance;cs_it;data_ai;design_creative;medicine,countries/romania/entities/agents/profiles/upgrade-education.md,High touch advisory ensure fee transparency before marketing.,2025-12-22
ag-ro-bucharest-iec-abroad,IEC Abroad Romania,tier_2,training_required,moderate,Bucharest,Bucharest;Cluj-Napoca;Iasi;Timisoara,placements;visa_support;events;accommodation,CY;GR;UK;IE;ES,business;cs_it;hospitality;health_sciences,countries/romania/entities/agents/profiles/iec-abroad-romania.md,Confirm Romanian entity status and GDPR safe data transfer.,2025-12-22
ag-ro-bucharest-atlantic-london,Atlantic London Romania,tier_3,pilot_only,high,Bucharest,Bucharest;Cluj-Napoca;Iasi;Timisoara,placements;visa_support;application_editing;accommodation,CY;GR;UK;PT,business;hospitality;health_sciences;law,countries/romania/entities/agents/profiles/atlantic-london-romania.md,Aggressive marketing requires script review and QA guardrails.,2025-12-22
ag-ro-bucharest-medlink,Medlink Students Romania,tier_3,pilot_only,high,Bucharest,Bucharest;Iasi;Cluj-Napoca,placements;visa_support;application_editing;test_prep,CY;GR;BG;PL,medicine;health_sciences,countries/romania/entities/agents/profiles/medlink-students-romania.md,Medicine specialist validate licensing and prep partner disclosures.,2025-12-22
