school_id,name_en,name_local,city,region,school_type,curriculum,languages_of_instruction,ownership,priority_tier,affordability_signal,upper_secondary_pathway,program_fit_tags,recruitment_status,website_url,contact_email,contact_phone,notes_short,sources,last_verified
sch-ro-brasov-transylvania,Transylvania International School (Brașov area),,Brașov County,Brașov,private-romanian,Romanian liceu,Romanian,private,C,"1,860 RON (Grades 9–10) + 1,500 RON registration",Romanian liceu,medicine|business|cs-data-ai,monitor,,,,"Fee-charging liceu; verify Grades XI–XII delivery and official contact. Fee-charging Romanian liceu; published 2025–2026 schedule shows 1,860 RON (Grades 9–10) plus 1,500 RON registration. Confirm Grade XI–XII delivery, contacts, and English depth.",reports/20251220-Romania High-School Feeder Map.md,2025-12-21
sch-ro-bucharest-aisb,American International School of Bucharest,,Voluntari (Bucharest metro),Ilfov/Bucharest,international,IB continuum (PYP|MYP|DP),English,private,A,Not published; premium IB campus—request 2025–2026 fee schedule,IB DP,medicine|business|cs-data-ai,verify_fees,https://www.aisb.ro/,,,"Flagship IB DP school (~950 students, 60 nationalities); confirm fees and counselor contacts. IB World School (~950 students, 60 nationalities); confirm counselor contact and fee schedule before outreach.",reports/20251220-Romania High-School Feeder Map.md|https://www.aisb.ro|https://en.wikipedia.org/wiki/American_International_School_of_Bucharest,2025-12-21
sch-ro-bucharest-avenor,Avenor College,Avenor College,Bucharest,Bucharest,international,IGCSE|A Level (Cambridge),English|Romanian,private,A,2025–2026 grade-based fees published on fees page; premium band (confirm exact amounts),IGCSE + A Levels,medicine|business|cs-data-ai,verify_fees,https://www.avenor.ro/en/,boyana.dragomir@avenor.ro|admissions@avenor.ro,+40 745 757 121 (HS admissions); +40 744 490 520 (school office),British IGCSE/A Level with dual Romanian/British authorization; HS admissions lead Boyana Dragomir +40 745 757 121; fees page updated 2025-07-02—request schedule PDF. British IGCSE/A Level with dual Romanian/British accreditation; address Strada Drumul Pădurea Pustnicu 125A Sector 1 (Greenfield); fees visible online but require capture for records,reports/20251220-Romania High-School Feeder Map.md|https://www.avenor.ro/en/high-school/|https://www.avenor.ro/en/contact/|https://www.avenor.ro/en/fees/,2025-12-21
sch-ro-bucharest-bbis,Bucharest-Beirut International School,,Bucharest,Bucharest,international,IB continuum|Lebanese national,English,private,A,Not published (premium IB continuum),IB DP,medicine|business|cs-data-ai,verify_fees,https://bbischool.ro,admissions@bbischool.ro,,"IB PYP + DP (MYP candidate); ~400 students; fees requested from admissions. IB PYP (2021) + IB DP (2017); MYP candidate; Lebanese programme parallel; address: 14 Vergului Street, District 2; phone +40 744 309 199; principal Sally Yassin (counselor TBD); fees not published—request schedule from admissions Contact: Admissions Office.",https://bbischool.ro|reports/20251220-Romania High-School Feeder Map.md,2025-12-21
sch-ro-bucharest-bca,Bucharest Christian Academy,Bucharest Christian Academy,Bucharest,Bucharest,faith,US high school (AERO-aligned)|AP courses,English,faith,A,Tuition on request; €700 new / €350 returning registration; tech (€200–€350) + ELL (€350–€450/sem) fees published,US Grades 9–12 (AP exam center),medicine|business|cs-data-ai,verify_fees,https://www.bcaromania.org,office@bcaromania.org,+40 21 323 5887,"MSA + ACSI accredited US curriculum; AP exams hosted onsite; address Aleea Mizil 62B Sector 3. MSA + ACSI accredited; AP exam center; address Aleea Mizil 62B, Sector 3",https://www.bcaromania.org/contact|https://www.bcaromania.org/tuition|https://www.bcaromania.org/american-school-curriculum-bucharest|https://www.bcaromania.org/apexams,2025-12-21
sch-ro-bucharest-csb,Cambridge School of Bucharest,,Voluntari (Bucharest metro),Ilfov/Bucharest,international,IGCSE|A Level|IB DP,English,private,A,Not published (international British/IB),IGCSE + A Levels + IB DP,medicine|business|cs-data-ai,verify_fees,https://www.cambridgeschool.ro/,office@cambridgeschool.ro,+40 21 210 2131,"Voluntari/Pipera British + IB DP pathway; fees shared on request. IB DP and Cambridge pathway; premium Voluntari location, fees on request",https://www.cambridgeschool.ro/about-us/|reports/20251220-Romania High-School Feeder Map.md|https://www.cambridgeschool.ro/contact-us/,2025-12-21
sch-ro-bucharest-deutsche,Deutsche Schule Bukarest,Școala Germană București,Bucharest,Bucharest,international,German Abitur,German|English,international-network,A,Not published (German international; Abitur),German Abitur,medicine|business|cs-data-ai,verify_fees,https://www.dsbu.ro/,,+40 21 210 6070,"Sector 1 German Abitur school; address Strada Coralilor 20G; principal Martin Nickels; phone +40 21 210 6070; fees on request—confirm upper-secondary cohort size and counselor contact. Sector 1 German Abitur school on Strada Coralilor 20G; principal Martin Nickels; confirm counselor contact, fee schedule, and Oberstufe cohort size.",reports/20251220-Romania High-School Feeder Map.md|https://www.dsbu.ro/contact/|https://en.wikipedia.org/wiki/Deutsche_Schule_Bukarest,2025-12-21
sch-ro-bucharest-genesis,Genesis College,,Bucharest,Bucharest,private-romanian,Romanian liceu|IB DP,Romanian|English,private,A,Fees on request (premium private),Romanian liceu + IB DP,medicine|business|cs-data-ai,verify_fees,https://genesis.ro,liceu@genesis.ro,,IB World School with bilingual liceu; confirm tuition and counselor contact. Campus: Strada Coralilor 22 Sector 1; IB DP + Romanian liceu; fees on request; high school phone +40 725 443 800 Contact: Admissions office.,https://genesis.ro|reports/20251220-Romania High-School Feeder Map.md,2025-12-21
sch-ro-bucharest-ichb,International Computer High School of Bucharest,Liceul Teoretic Internațional de Informatică București,Bucharest,Bucharest,private-romanian,National STEM liceu (math-informatics),Romanian|English,private,A,"€9,400 + €700 enrollment (2025–2026)",Romanian liceu,medicine|cs-data-ai,ready,https://ichb.ro,contact@ichb.ro|info.colentina@ichb.ro|info.liceu@ichb.ro,+40 21 204 04 44 (Colentina); +40 21 327 54 43 / +40 21 327 65 70 (Pallady),Premium STEM liceu across Colentina and Pallady campuses; confirm counselor name and cohort sizes. Lumina-operated STEM liceu with dual campuses (Colentina: Șos. Colentina 64B; Pallady: Str. Balta Albina 9); premium tuition and strong CS/olympiad positioning; counselor contact pending.,reports/20251220-Romania High-School Feeder Map.md|https://colentina.ichb.ro/contact/|https://pallady.ichb.ro/contact/,2025-12-21
sch-ro-bucharest-ioanid,Liceul Internațional IOANID,,Bucharest,Bucharest,private-romanian,Cambridge IGCSE|A Level (Cambridge RO085),English|Romanian,private,A,"€8,825–€10,950 (reported 2025 band; verify current)",IGCSE -> A Levels (Cambridge liceu),medicine|business|cs-data-ai,verify_fees,https://ioanidinternational.ro/,officeliceu@ioanid.com,+40 747 272 201,Premium private liceu with Cambridge certification (RO085); visit booking via officeliceu@ioanid.com / +40 747 272 201; fees require confirmation. Cambridge-certified private liceu with small-class positioning; fees require confirmation along with counselor/visit protocol.,reports/20251220-Romania High-School Feeder Map.md|https://ioanidinternational.ro/contact/|https://ioanidinternational.ro/book-a-visit-2/,2025-12-21
