competitor,program_name,degree_level,delivery,tuition_eur,location,language,intake_months,notes,as_of
German Jordanian University,BSc Computer Engineering,bachelor,on-campus,,"Amman, JO",English,September;February,German dual-education model; year abroad; tuition varies by nationality.,2025-12-22
German Jordanian University,BSc Software Engineering,bachelor,on-campus,,"Amman, JO",English,September;February,Applied-sciences positioning; industry placements; tuition varies.,2025-12-22
German Jordanian University,BSc Computer Science,bachelor,on-campus,,"Amman, JO",English,September;February,Project-based curriculum; strong employability focus; tuition varies.,2025-12-22
German Jordanian University,BSc Business Administration,bachelor,on-campus,,"Amman, JO",English,September;February,German-style internships; tuition varies.,2025-12-22
University of Jordan,Doctor of Medicine (MD),other,on-campus,,"Amman, JO",English,September;February,Flagship public option; highly competitive admissions; verify yearly intake rules.,2025-12-22
University of Jordan,BSc Pharmacy,bachelor,on-campus,,"Amman, JO",English,September;February,Public benchmark for health programs; tuition varies; confirm language by faculty.,2025-12-22
University of Jordan,BSc Nursing,bachelor,on-campus,,"Amman, JO",English,September;February,Strong local placement outcomes; tuition varies; confirm language by faculty.,2025-12-22
University of Jordan,BSc Computer Science,bachelor,on-campus,,"Amman, JO",English,September;February,Reference price point locally; confirm language and intake pattern by year.,2025-12-22
University of Jordan,BBA Business Administration,bachelor,on-campus,,"Amman, JO",English,September;February,High demand locally; confirm language and intake pattern by year.,2025-12-22
University of Jordan,MBA (Master of Business Administration),master,on-campus,,"Amman, JO",English,September;February,Common alternative for working professionals; confirm tuition and requirements on program page.,2025-12-22
Bilkent University,BSc Computer Engineering,bachelor,on-campus,,"Ankara, TR",English,September,Top Turkey private competitor; scholarships marketed in Jordan.,2025-12-22
Bilkent University,BSc Business Administration,bachelor,on-campus,,"Ankara, TR",English,September,Strong regional brand; scholarships availability varies.,2025-12-22
Bilkent University,MBA (Master of Business Administration),master,on-campus,,"Ankara, TR",English,September,Private tuition model; scholarships and assistantships vary.,2025-12-22
Bilkent University,BSc Economics,bachelor,on-campus,,"Ankara, TR",English,September,Alternative for business-track students; competitive scholarships.,2025-12-22
