competitor,program_name,degree_level,delivery,tuition_eur,location,language,intake_months,notes,as_of
"Medical University of Sofia (Bulgaria)","Medicine (MD) - English",professional-doctorate,on-campus,8000,"Sofia, BG",English,,"6-year program; biology/chemistry entrance exam. Tuition in `competitors.md` is ~8000–9000 EUR/year; `tuition_eur` uses low end of stated range. Intake months not captured in `competitors.md` sources.",2025-12-20
"Medical University of Varna (Bulgaria)","Medicine (MD) - English",professional-doctorate,on-campus,8000,"Varna, BG",English,,"6-year program; biology/chemistry entrance exam; strong simulation center per `competitors.md`. Intake months not captured in `competitors.md` sources.",2025-12-20
"Medical University of Plovdiv (Bulgaria)","Medicine (MD) - English",professional-doctorate,on-campus,8000,"Plovdiv, BG",English,,"6-year program; biology/chemistry entrance exam; lower living costs and local exam-prep ecosystem per `competitors.md`. Intake months not captured in `competitors.md` sources.",2025-12-20
"Aristotle University of Thessaloniki (Greece)","Medicine (MD) - English",professional-doctorate,on-campus,13000,"Thessaloniki, GR",English,,"English-taught MD with Greek language modules required for clinical patient interaction; limited seats (~60/year) per `competitors.md`. Intake months not captured in `competitors.md` sources.",2025-12-20
"Semmelweis University (Hungary)","Medicine (MD) - English",professional-doctorate,on-campus,17000,"Budapest, HU",English,,"Entrance tests in biology/chemistry/English + interview per `competitors.md`. Tuition in `competitors.md` is ~17000–18000 EUR/year; `tuition_eur` uses low end of stated range. Intake months not captured in `competitors.md` sources.",2025-12-20
"University of Debrecen (Hungary)","General Medicine (MD) - English",professional-doctorate,on-campus,16000,"Debrecen, HU",English,,"Biology/chemistry/English test + interview per `competitors.md`; large international cohort; electives often used for USMLE/UKMLA prep. Intake months not captured in `competitors.md` sources.",2025-12-20
"Carol Davila University of Medicine and Pharmacy (Bucharest, Romania)","General Medicine (MD) - English",professional-doctorate,on-campus,7500,"Bucharest, RO",English,,"Biology/chemistry entrance exam + grades per `competitors.md`; Romanian language needed in clinical phases. Tuition in `competitors.md` is ~7500–8000 EUR/year; `tuition_eur` uses low end of stated range. Intake months not captured in `competitors.md` sources.",2025-12-20
"Masaryk University (Brno, Czechia)","General Medicine (MD) - English",professional-doctorate,on-campus,12500,"Brno, CZ",English,,"Online entrance test (bio/chem/physics); competitive admission; strong simulation facilities per `competitors.md`. Intake months not captured in `competitors.md` sources.",2025-12-20
"Charles University (various faculties, Czechia)","General Medicine (MD) - English",professional-doctorate,on-campus,14000,"Prague, CZ",English,,"Faculty-specific entrance exams; strong brand. Tuition in `competitors.md` is ~14000–18000 EUR/year depending on faculty; `tuition_eur` uses low end of stated range. Intake months not captured in `competitors.md` sources.",2025-12-20
"Comenius University, Jessenius Faculty (Martin, Slovakia)","General Medicine (MD) - English",professional-doctorate,on-campus,11000,"Martin, SK",English,,"MCQ biology/chemistry entrance; smaller-city lifestyle tradeoff; Slovak language needed for later clinical years per `competitors.md`. Intake months not captured in `competitors.md` sources.",2025-12-20
"University of Pécs (Hungary)","General Medicine (MD) - English",professional-doctorate,on-campus,17000,"Pécs, HU",English,,"Biology/chemistry + English proficiency and interview common; established English MD track per `competitors.md`. Intake months not captured in `competitors.md` sources.",2025-12-20
"Medical University of Gdańsk (Poland)","Medicine (MD) - English",professional-doctorate,on-campus,11000,"Gdańsk, PL",English,,"MCQ exam (bio/chem/physics) + grades/interview; Polish language needed for clinical years per `competitors.md`. Tuition in `competitors.md` is ~11000–13000 EUR/year (PLN-denominated); `tuition_eur` uses low end of stated range. Intake months not captured in `competitors.md` sources.",2025-12-20
