school_id,name_local,name_en,city,region,school_type,curricula,languages_of_instruction,priority_tier,program_fit_tags,recommended_outreach_formats,visit_window_notes,website_url,contact_email,contact_phone,counselor_email,tuition_band_jod,tuition_band_usd,evidence_tag,notes_short,sources,last_verified
jordan-kings-academy,King's Academy,King's Academy,Madaba,Madaba Governorate,boarding/day international,US diploma;AP Capstone;AP,English;Arabic,Tier 1,medicine;cs-data-ai;business,counselor-1-1;parent-session;student-assembly,Target Sep–Nov and Feb–Apr; avoid AP exams (May) and boarding departures; coordinate with counseling,https://www.kingsacademy.edu.jo,info@kingsacademy.edu.jo,+962 6 430 0230,ucoadmin@kingsacademy.edu.jo,29800 day; 37750 boarding (2025-2026),42000 day approx; 53250 boarding approx,A,Highest-fee US boarding/day school; AP Capstone; welcomes accredited university visits,countries/jordan/reports/20251220-Jordan Premium High-School Feeders.md|https://www.kingsacademy.edu.jo/contact-us|https://www.kingsacademy.edu.jo/academics/advanced-placement/ap-courses|https://www.kingsacademy.edu.jo/academics/university-counseling/for-university-representatives,2025-12-21
jordan-acs-amman,American Community School Amman,American Community School Amman,Amman,Amman,international,US diploma;AP,English;Arabic,Tier 1,medicine;cs-data-ai;business,counselor-1-1;parent-session;student-assembly,Sept–early Nov; late Jan–Mar; avoid AP/SAT windows; confirm visit policy,https://www.acsamman.edu.jo,,,,≈19468 JOD tuition + ≈8510 JOD capital (published USD 2025-2026),27450 tuition + 12000 capital assessment (2025-2026),A,Premium US-accredited school; counselor email pending (start via site form); visit policy to confirm,countries/jordan/reports/20251220-Jordan Premium High-School Feeders.md|https://www.acsamman.edu.jo,2025-12-21
jordan-ics-amman,International Community School Amman,International Community School (ICS),Amman,Amman,international,British;IGCSE;A-Levels;BTEC,English;Arabic,Tier 1,medicine;cs-data-ai;business,counselor-1-1;parent-session;student-assembly,Sep–Nov or Jan–Mar; avoid A-Level exams; confirm mocks,https://www.ics.edu.jo,admissions@ics.edu.jo,+962 6 479 0666,counselling@ics.edu.jo,18802 (Y12/Y13 2025-2026),26510 approx,A,Premium A-Level/BTEC Sixth Form with published 2025-2026 fees,countries/jordan/reports/20251220-Jordan Premium High-School Feeders.md|https://www.ics.edu.jo/contact-us,2025-12-21
jordan-abs-amman,Amman Baccalaureate School,Amman Baccalaureate School (ABS),Amman,Amman,international,IB PYP;IB MYP;IB DP,English;Arabic,Tier 1,medicine;cs-data-ai;business,counselor-1-1;parent-session;student-assembly,Target Sep–Nov and Jan–Feb; avoid May IB exams; confirm visit policy,https://abs.edu.jo/,,+962 6 541 1191,,16113 (G11); 16913 (G12),22720-23850 approx,A,Premium IB DP continuum; route via +962 6 541 1191 or web form to reach counselor,countries/jordan/reports/20251220-Jordan Premium High-School Feeders.md|https://abs.edu.jo/,2025-12-21
jordan-iaa-amman,International Academy – Amman,International Academy – Amman (IAA),Amman,Amman,international,IB PYP;IB MYP;IB DP;BTEC partnership,English;Arabic,Tier 1,medicine;cs-data-ai;business,counselor-1-1;parent-session;student-assembly,Request DP1/DP2 fee schedule via admissions; align visits around IB calendar; avoid May exams,https://www.iaa.edu.jo,admissions@iaa.edu.jo,+962 6 550 2055 ext. 3,,Not published (calculator),calculator only,B/C,Tier 1 IB World School; fees gated behind calculator; admissions@iaa.edu.jo routes to counselor; scholarship fund 5M JOD cited,countries/jordan/reports/20251220-Jordan Premium High-School Feeders.md|https://www.iaa.edu.jo,2025-12-21
jordan-nes-amman,New English School,New English School (NES),Amman,Amman,international,British;A-Levels;AP referenced,English;Arabic,Tier 1,medicine;cs-data-ai;business,counselor-1-1;parent-session;student-assembly,Bundle West Amman visits; avoid May/June external exams; confirm visit policy,https://www.nes.edu.jo,admissions@nes.edu.jo,+962 6 551 7111,university.counsellor@nes.edu.jo,11900 (Y12-13 2025-2026),16780 approx (2025-2026),A,Premium A-Level Sixth Form with AP reference; admissions and counselor inboxes published; visit policy pending,countries/jordan/reports/20251220-Jordan Premium High-School Feeders.md|https://www.nes.edu.jo/en/Home/contactus,2025-12-21
jordan-mas-amman,Modern American School,Modern American School (MAS),Amman,Amman,international,IB DP;US diploma;Edexcel GCE ref.,English;Arabic,Tier 1,medicine;cs-data-ai;business,counselor-1-1;parent-session;student-assembly,Sep–Nov; Jan–Mar; avoid Apr–May IB exams; confirm visit policy,https://www.mas.edu.jo,admissions@mas.edu.jo,+962 6 585 6002,,13650 (IBDP 11-12 2025-2026),19250 approx (2025-2026),A,Tier 1 IB DP with American/Edexcel references; contact data from directories pending school confirmation,countries/jordan/reports/20251220-Jordan Premium High-School Feeders.md|https://madaresonajo.com/en/schools/49/Modern-American-School|https://internationalschoolguide.com/jordan/amman/modern_american_school.htm,2025-12-21
jordan-amman-academy,Amman Academy,Amman Academy (Nord Anglia),Amman,Amman,international,IB PYP;IB MYP;IB DP,English;Arabic,Tier 1,medicine;cs-data-ai;business,counselor-1-1;parent-session;student-assembly,Sep–Nov and Jan–Feb; avoid May IB exams and Ramadan exam windows; confirm visit policy,https://www.ammanacademy.edu.jo,registration@aa.edu.jo,+962 6537 4444,,12323 (DP1/DP2) + 280 CAS + 590 IT + 170 graduation + 400 joining,17380 approx,A,Nord Anglia IB continuum; use registration@aa.edu.jo to route to counselor; published DP fees + 38.3 IB avg (2023) claims,countries/jordan/reports/20251220-Jordan Premium High-School Feeders.md|https://www.nordangliaeducation.com/amman-academy/admissions/tuition-fees|https://www.nordangliaeducation.com/amman-academy/admissions/enquiry,2025-12-21
jordan-sabis-amman,International School of Choueifat Amman,International School of Choueifat (SABIS) Amman,Amman,Amman,international,SABIS;A-Level aligned,English;Arabic,Tier 2,general-programs;medicine-screen,counselor-1-1;student-assembly,Pair with agent/fair stops; confirm SABIS visit rules,,,,,11830 (G11-12),16680 approx,A,Premium SABIS fees; strong for general programs,countries/jordan/reports/20251220-Jordan Premium High-School Feeders.md,2025-12-20
jordan-mms-amman,Modern Montessori School,Modern Montessori School (MMS),Amman,Amman,international,IB DP,English;Arabic,Tier 2,general-programs;medicine-screen,counselor-1-1;student-assembly,Cluster West Amman visits; confirm IB calendar,,,,,11390 (IBDP 11-12),16060 approx,A,High-fee IB; good general pipeline;cites verification of visit cadence,countries/jordan/reports/20251220-Jordan Premium High-School Feeders.md,2025-12-20
