event_id,name,city,country,start_date,end_date,organizer,format,focus,expected_attendance,notes,as_of
event-lb-beirut-2025-educationusa-fulbright-college-fair,EducationUSA / Fulbright College Fair,Beirut,LB,2025-10-01,,EducationUSA Lebanon / Fulbright Commission,in-person,US-focused college fair; English-medium pathways,600,"Month placeholder pulled from calendar-2025-2026; expectation 400-600 students + 30-60 counselors. Profile: countries/lebanon/entities/fairs-events/profiles/educationusa-college-fair-beirut.md",2025-12-23
event-lb-beirut-2025-campus-france-higher-ed-day,Institut français / Campus France Higher-Education Day,Beirut,LB,2025-11-01,,Institut français du Liban / Campus France Liban,in-person,Francophone higher-ed showcase; EU recognition,700,"Month placeholder per calendar-2025-2026; full-day fair with counselor breakfast. Profile: countries/lebanon/entities/fairs-events/profiles/campus-france-higher-ed-day.md",2025-12-23
event-lb-beirut-2025-access-masters,Access Masters (Advent Group),Beirut,LB,2025-02-01,,Advent Group,in-person,Graduate admissions (Masters) 1:1 meetings,120,"Month placeholder (Feb/Mar window). Pre-screened prospects; secure 1:1 slots early. Profile: countries/lebanon/entities/fairs-events/profiles/access-mba-masters-beirut.md",2025-12-23
event-lb-beirut-2025-access-mba,Access MBA (Advent Group),Beirut,LB,2025-02-01,,Advent Group,in-person,Graduate admissions (MBA) 1:1 meetings,120,"Month placeholder (Feb/Mar window). Requires 1:1 staffing + presentation slot. Profile: countries/lebanon/entities/fairs-events/profiles/access-mba-masters-beirut.md",2025-12-23
event-lb-beirut-2025-education-beyond-borders-spring,Education Beyond Borders (EBB) – Spring edition,Beirut,LB,2025-03-01,,Education Beyond Borders (EBB),in-person,International study expo,5000,"Two-day spring edition; attendance 3k–5k. Book booth + seminar. Profile: countries/lebanon/entities/fairs-events/profiles/education-beyond-borders-beirut.md",2025-12-23
event-lb-beirut-2025-education-beyond-borders-fall,Education Beyond Borders (EBB) – Fall edition,Beirut,LB,2025-10-01,,Education Beyond Borders (EBB),in-person,International study expo,5000,"Two-day fall edition (Oct/Nov). Plan QR/UTM landing pages. Profile: countries/lebanon/entities/fairs-events/profiles/education-beyond-borders-beirut.md",2025-12-23
event-lb-beirut-2025-cedaredu-roadshow-spring,CedarEdu roadshow – Beirut stop (spring circuit),Beirut,LB,2025-03-01,,Cedar Education Consultancy,in-person,Agent-led multi-city roadshow,200,"Spring window (Feb-Apr). Bundle with school visits + counselor dinners. Profile: countries/lebanon/entities/fairs-events/profiles/agent-roadshows-lebanon.md",2025-12-23
event-lb-tripoli-2025-cedaredu-roadshow-spring,CedarEdu roadshow – Tripoli stop (spring circuit),Tripoli,LB,2025-03-01,,Cedar Education Consultancy,in-person,Agent-led multi-city roadshow,200,"Spring window stop targeting Tripoli schools. Capture GDPR-compliant lead files. Profile: countries/lebanon/entities/fairs-events/profiles/agent-roadshows-lebanon.md",2025-12-23
event-lb-saida-2025-cedaredu-roadshow-spring,CedarEdu roadshow – Saida stop (spring circuit),Saida,LB,2025-03-01,,Cedar Education Consultancy,in-person,Agent-led multi-city roadshow,200,"Spring window stop for Saida/Tyre catchment; confirm venue + school list. Profile: countries/lebanon/entities/fairs-events/profiles/agent-roadshows-lebanon.md",2025-12-23
event-lb-beirut-2025-orientmena-roadshow-fall,Orient MENA roadshow – Beirut stop (fall circuit),Beirut,LB,2025-10-01,,Orient MENA Education Services,in-person,Agent-led multi-city roadshow,200,"Fall window (Sep-Nov). Push for co-branded seminar + data transparency. Profile: countries/lebanon/entities/fairs-events/profiles/partner-roadshows-lebanon.md",2025-12-23
event-lb-tripoli-2025-orientmena-roadshow-fall,Orient MENA roadshow – Tripoli stop (fall circuit),Tripoli,LB,2025-10-01,,Orient MENA Education Services,in-person,Agent-led multi-city roadshow,200,"Fall stop focused on Tripoli families; confirm school visits bundled. Profile: countries/lebanon/entities/fairs-events/profiles/partner-roadshows-lebanon.md",2025-12-23
event-lb-saida-2025-orientmena-roadshow-fall,Orient MENA roadshow – Saida stop (fall circuit),Saida,LB,2025-10-01,,Orient MENA Education Services,in-person,Agent-led multi-city roadshow,200,"Fall stop for Saida/Tyre. Negotiate bundle pricing + data delivery. Profile: countries/lebanon/entities/fairs-events/profiles/partner-roadshows-lebanon.md",2025-12-23
event-lb-virtual-2025-bmi-connect-live,BMI Connect Live virtual fair (May/Jun window),Virtual,LB,2025-05-01,,BMI Connect Live,virtual,Virtual study abroad fair,500,"Quarterly Connect Live slot including Lebanon audiences; staff evening peaks. Profile: countries/lebanon/entities/fairs-events/profiles/virtual-education-fairs.md",2025-12-23
event-lb-virtual-2025-cis-virtual-fair,CIS virtual education fair (November window),Virtual,LB,2025-11-01,,Council of International Schools (CIS),virtual,Virtual counselor + student fair,500,"Late-fall virtual fair covering Lebanon + region; prioritize counselor meetings. Profile: countries/lebanon/entities/fairs-events/profiles/virtual-education-fairs.md",2025-12-23
event-lb-regional-2025-counselor-forum-series,Regional counselor forums (BMI / CIS / partner networks),Regional,LB,,,BMI; CIS; counselor networks,hybrid,Counselor relationship forums + virtual segments,250,"Multiple hubs (Beirut/Dubai/Athens) 1–3 times per year; dates TBD each cycle. Profile: countries/lebanon/entities/fairs-events/profiles/regional-counselor-forums.md",2025-12-23
