agent_id,name,region,services,contact_name,contact_email,primary_markets,notes,as_of
ag-lb-beirut-studypedia,Studypedia,Beirut (Clemenceau/Hamra),application_editing;placements;visa_support,,,CA;CY;GB;GR;US,Tier A; ICEF-trained counsellors per EducationAgentsGuide,2025-12-22
ag-lb-beirut-educom-overseas,Educom Overseas,Beirut (Jal El Dib),application_editing;events;placements;visa_support,,,CA;CY;GB;GR;IE,Tier A; counsellors ICEF trained; Canada and Irish course grads per EducationAgentsGuide,2025-12-22
ag-lb-beirut-imaster-international-academic-consultancy,iMaster International Academic Consultancy,Beirut (Jnah),application_editing;placements;visa_support,,,CA;CY;GB;GR;IE,Tier A; counsellors ICEF trained; Canada and Irish course grads per EducationAgentsGuide,2025-12-22
ag-lb-beirut-khalil-services,Khalil Services Lebanon,Beirut,placements;visa_support,,,CA;CY;DE;GR;US,Tier A; regional network; validate Lebanon entity and franchise terms,2025-12-22
ag-lb-beirut-success-group,Success Group,Beirut,accommodation;application_editing;placements;visa_support,,,CA;CY;DE;GB;GR;TR;US,Tier A; verify listed accreditations; require DPA for lead sharing,2025-12-22
ag-lb-beirut-overseas-educational-agency,Overseas Educational Agency,Beirut (Manhal),application_editing;events;placements;scholarship_guidance,,,CA;CY;DE;GB;GR;TR,Tier B; markets scholarships/offers; require license verification and discount controls,2025-12-22
ag-lb-beirut-edutopia-lb,Edutopia Lebanon,Beirut (Hamra/Clemenceau),application_editing;events;placements;scholarship_guidance,,,CA;CY;GB;GR,Tier B; scholarship guidance per testimonials; verify counsellor qualifications and sub-agent policy,2025-12-22
ag-lb-beirut-cross-abroad,Cross Abroad,Beirut,accommodation;application_editing;placements;visa_support,,,CA;CY;GB;GR,Tier B; full-service incl accommodation; verify housing partners and fee handling,2025-12-22
ag-lb-beirut-world-education-lb,World Education LB,Beirut,application_editing;placements;visa_support,,,CA;CY;GR;US,Tier B; digital-first intake; confirm licensing and marketing approvals,2025-12-22
ag-lb-beirut-lebanohm-consultancy,Lebanohm Consultancy,Beirut,application_editing;placements;visa_support,,,CA;CY;GB;GR,Tier B; digital Apply Now funnel; require GDPR consent language and sub-agent confirmation,2025-12-22
ag-lb-beirut-orient-mena-education,Orient MENA Education,Beirut (seasonal desks Tripoli/Saida),events;placements;test_prep;visa_support,,,CA;CY;GB;GR,Tier C; verification needed; fair-driven lead capture and test registrations,2025-12-22
ag-lb-beirut-levant-studies,Levant Studies,Beirut (remote Mount Lebanon/Beqaa),application_editing;placements;visa_support,,,CA;CY;GB;GR,Tier C; verification needed; proceed only after registration and data protection checks,2025-12-22
ag-lb-beirut-cedar-education-consultancy,Cedar Education Consultancy,Beirut (Metn/Baabda),application_editing;placements;visa_support,,,CA;CY;GB;GR,Tier C; verification needed; pilot only after incorporation and GDPR controls,2025-12-22
ag-lb-beirut-cedar-bridge-learning,Cedar Bridge Learning,Beirut (Metn/Mount Lebanon),application_editing;events;placements;test_prep;visa_support,,,CA;CY;GB;GR,Tier C; verification needed; school-linked model assumed; require references,2025-12-22
ag-lb-beirut-beirut-study-abroad,Beirut Study Abroad,Beirut (Hamra/Clemenceau),events;placements;visa_support,,,CA;CY;GB;GR,Tier C; verification needed; no verified website as of 2025-12-20,2025-12-22
