category,sub_category,period,amount_eur,assumptions,owner,notes,as_of
"marketing","paid_media_meta","2026",45000,"Planning baseline for Bulgaria paid media Jan-Oct 2026; Meta is primary volume driver; assumes efficient CPL within channel guardrails","Marketing","Source: countries/bulgaria/reports/2025-12-20 - UNIC Athens Bulgaria Recruitment Plan.md (paid media €100k-110k Jan-Oct 2026); countries/bulgaria/go-to-market/digital-playbook/channel-strategy.md (Meta priority; CPL guardrails)","2025-12-22"
"marketing","paid_media_google_search","2026",32000,"Planning baseline for Bulgaria paid media Jan-Oct 2026; capture high-intent search for brand and programs; protect brand SERP","Marketing","Source: countries/bulgaria/reports/2025-12-20 - UNIC Athens Bulgaria Recruitment Plan.md (paid media €100k-110k Jan-Oct 2026); countries/bulgaria/go-to-market/digital-playbook/channel-strategy.md (Google Search high-intent)","2025-12-22"
"marketing","paid_media_tiktok","2026",15000,"Planning baseline for Bulgaria paid media Jan-Oct 2026; efficient prospecting and social proof for STEM and Medicine themes","Marketing","Source: countries/bulgaria/reports/2025-12-20 - UNIC Athens Bulgaria Recruitment Plan.md (paid media €100k-110k Jan-Oct 2026); countries/bulgaria/go-to-market/digital-playbook/channel-strategy.md (TikTok play)","2025-12-22"
"marketing","paid_media_youtube","2026",8000,"Planning baseline for Bulgaria paid media Jan-Oct 2026; awareness with campus and program video; retarget to drive lower CPL","Marketing","Source: countries/bulgaria/reports/2025-12-20 - UNIC Athens Bulgaria Recruitment Plan.md (paid media €100k-110k Jan-Oct 2026); countries/bulgaria/go-to-market/digital-playbook/channel-strategy.md (YouTube awareness and retarget)","2025-12-22"
"marketing","paid_media_linkedin","2026",5000,"Planning baseline for Bulgaria paid media Jan-Oct 2026; niche parent and postgraduate targeting; keep tight budgets","Marketing","Source: countries/bulgaria/go-to-market/digital-playbook/channel-strategy.md (LinkedIn niche; CPL guardrails); planning assumption for Bulgaria parent and counselor reach","2025-12-22"
"marketing","creative_and_ugc_production","2026",12000,"Creative testing cadence requires ongoing UGC and cutdowns; assumes 2-3 new short videos per week Jan-Oct with light editing and subtitles","Marketing","Source: countries/bulgaria/go-to-market/digital-playbook/channel-strategy.md (weekly creative refresh; Bulgarian subtitles); planning assumption for production budget","2025-12-22"
"marketing","landing_pages_localization_and_copy","2026",6000,"Bulgarian landing pages per program and localization support; assumes copywriting and translation refresh across intake peaks","Marketing + Web","Source: countries/bulgaria/go-to-market/digital-playbook/channel-strategy.md (Bulgarian LPs per program; localization); planning assumption","2025-12-22"
"technology","lead_capture_and_webinar_stack","2026",3500,"CRM routing and lead capture tooling plus webinar platform add-ons; enables daily lead scoring and tracked sources","Admissions Ops","Source: countries/bulgaria/go-to-market/digital-playbook/channel-strategy.md (UTM storage; lead scoring cadence); planning assumption for tooling","2025-12-22"
"events","world_education_fair_spring_fees","2026-03",12000,"WEF Spring 2026 Sofia-Plovdiv-Burgas-Varna; assumes participation fees and basic booth package across four cities; verify against organizer contract","Events + Recruitment (Bulgaria)","Source: countries/bulgaria/reports/2025-12-20 - UNIC Athens Bulgaria Recruitment Plan.md (WEF Spring 21-24 Mar 2026); planning assumption for fee level","2025-12-22"
"events","world_education_fair_upgrades","2026-03",4000,"Potential second booth in Sofia plus upgrades and onsite services; only spend if inventory allows and ROI signals are strong","Events + Recruitment (Bulgaria)","Source: countries/bulgaria/reports/2025-12-20 - UNIC Athens Bulgaria Recruitment Plan.md (book 2 booths in Sofia if inventory allows); planning assumption","2025-12-22"
