agent_id,name,region,services,contact_name,contact_email,primary_markets,notes,as_of
ag-rs-belgrade-integraledu,IntegralEdu Serbia,Belgrade,application_editing;events;placements;visa_support,,info@integraledu.rs,AT;DE;IT;NL;UK,World Education Fair operator; align lead ownership rules and block sub-agent chains before activation.,2025-12-23
ag-rs-belgrade-via-academica,Via Academica,Belgrade,application_editing;events;placements;scholarship_guidance;visa_support,,info@viaacademica.com,DE;ES;FR;IT;NL,Scholarship-centric Belgrade counselor with webinar cadence; confirm messaging accuracy and accreditations.,2025-12-23
ag-rs-belgrade-unify,UNIFY Serbia,Belgrade,application_editing;events;placements;scholarship_guidance;visa_support,,,AT;BE;DE;NL,"Dutch/EU specialist; ensure NL-focused claims, counselor model, and fee policies match UNIC copy.",2025-12-23
ag-rs-belgrade-study-abroad-serbia,Study Abroad Serbia (portal),Belgrade,application_editing;events,,,AT;DE;IT;NL,"Lead-generation portal; keep to awareness campaigns until operator identity, GDPR posture, and conversions are verified.",2025-12-23
ag-rs-belgrade-future-option,Future Option,Belgrade,application_editing;events;placements;scholarship_guidance;visa_support,,info@futureoption.net,AU;DE;IT;NZ;UK,AU/NZ-first consultancy with Serbian webinars; validate EU counseling scope plus fee/refund policies.,2025-12-23
ag-rs-belgrade-ino-edukacija,Ino Edukacija,Belgrade,application_editing;events;placements;scholarship_guidance;visa_support,,office@inoedukacija.com,AT;DE;IT;NL;UK,Serbian-language content hub; align scholarship figures and clarify counseling fee plus commission mix.,2025-12-23
ag-rs-belgrade-bridgeblue,BridgeBlue Serbia,Belgrade,application_editing;events;placements;visa_support,,,AU;CA;DE;UK,"Franchise office mixing study and migration; require QA on copy approvals, staffing, and sub-agent bans.",2025-12-23
ag-rs-belgrade-global-education-consultants,Global Education Consultants Serbia,Belgrade,application_editing;events;placements;scholarship_guidance;visa_support,,,AT;DE;IT;NL;UK,"Belgrade multi-destination agency with heavy social ads; verify credentials, GDPR compliance, and no sub-agent routing.",2025-12-23
ag-rs-belgrade-prestige-education,Prestige Education,Belgrade,application_editing;events;placements;scholarship_guidance;visa_support,,,DE;IT;NL;SE;UK,Boutique counselor with test-prep tie-ins; manage capacity and ensure GDPR-compliant data handling and invoicing.,2025-12-23
ag-rs-belgrade-study-abroad-today,Study Abroad Today (SAT Agency),Belgrade,application_editing;events;placements,,,DE;IT;NL;UK,"Social-first agency funneling high-school leads; enforce copy approvals, UTMs, and clarify fee vs commission structure.",2025-12-23
