school_id,name,city,region,type,ownership,curriculum,priority_tier,program_fit_tags,affordability_evidence,contact_name,contact_email,notes,last_verified,sources
lb-beirut-american-community-school,American Community School Beirut (ACS),Beirut,Beirut Governorate,international,private,US|IB|Lebanese,High,medicine|cs-data-ai|business,"Tuition $20,270 + ancillary $18,950 for Grades 11–12 (2025–26)",Admissions Office,,American Diploma + IB DP + Lebanese Bac; counseling uses MaiaLearning/PSAT,2025-12-21,https://www.acs.edu.lb/fs/resource-manager/view/99f4c929-9021-45b6-8051-f3b01fe49dac
lb-beirut-beirut-baptist-school,Beirut Baptist School,Beirut,Beirut Governorate,secondary,church/faith,Lebanese|US high school program,Medium,business|cs-data-ai,"Support and cost-of-living fee $4,972 for Grades 9–12 (2024–25)",Reception desk,bbs@bbs.edu.lb,Lebanese plus high school program; good Nicosia affordability,2025-12-21,https://bbs.edu.lb/new/tuition-fees/?utm_source=openai
lb-beirut-college-notre-dame-de-nazareth,Collège Notre-Dame de Nazareth,Beirut,Beirut Governorate,secondary,church/faith,French,Medium,medicine|business,"USD tuition $3,980 for Seconde–Terminale (2024–25)",,,French-homologated; scholarships may be needed for Athens,2025-12-21,https://ndn.edu.lb/ecolages/?utm_source=openai
lb-beirut-college-protestant-francais,Collège Protestant Français (Beirut),Beirut,Beirut Governorate,international,church/faith,French,High,medicine|cs-data-ai|business,"Solidarity fund $6,800 (2025–26) plus LBP tuition",,,AEFE/MLF French lycée; trilingual pathways,2025-12-21,https://www.cpf.edu.lb/info-pratiques/tarifs/annee-2025-2026/?utm_source=openai
lb-beirut-sscc-sioufi,Collège des Saints-Cœurs Sioufi,Beirut,Beirut Governorate,international,church/faith,French|Lebanese,Medium,medicine|cs-data-ai|business,"USD contribution $2,500 (Seconde)–$2,600 (Terminale) + LBP tuition for 2025–26",Front office / Secretariat,,Catholic AEFE French-Lebanese double program; counselor email to confirm,2025-12-21,https://sioufi.sscc.edu.lb/page/43/tous-nos-frais?sidebar=off|https://sioufi.sscc.edu.lb/contactus
lb-beirut-grand-lycee-franco-libanais,Grand Lycée Franco-Libanais (GLFL),Beirut,Beirut Governorate,international,private,French,Medium,medicine|business,"USD portion $3,000 for lycée (2026–27)",School office,grandlycee@glfl.edu.lb,AEFE/MLF French pathway; strong Beirut catchment; counselor contacts pending,2025-12-21,https://www.glfl.edu.lb/wp-content/uploads/2019/09/Reglement-financier-GLFL-26-27.pdf
lb-beirut-international-college,International College (Beirut campus),Beirut,Beirut Governorate,international,private,US|IB|Lebanese,High,medicine|cs-data-ai|business,"Solidarity subsidy $9,280–$10,847 for Grades 10–12 (2024–25)",Public Office,proffice@ic.edu.lb,NEASC-accredited; bilingual cohorts; strong counseling culture,2025-12-21,https://www.ic.edu.lb/archives/detail/~board/migrated-news-7d5e80b2-359a-40ea-8ffa-8aa8792a107c/post/tuition-fees-adjustment-2024-25-academic-year?utm_source=openai
lb-beirut-lycee-verdun,Lycée franco-libanais Verdun,Beirut,Beirut Governorate,international,private,French,Medium,medicine|business|cs-data-ai,"Development contribution $2,900 for collège/lycée (2025–26)",Info desk,info@lycee-verdun.edu.lb,Mission Laïque Française context; bilingual with English support; confirm counselor contact,2025-12-21,https://www.lycee-verdun.edu.lb/inscriptions25-26-2/?utm_source=openai|countries/lebanon/reports/20251220-Lebanon USD-Feeder High Schools.md
lb-aley-universal-college,Universal College Aley,Aley,Mount Lebanon (Aley),international,private,American|Lebanese,Medium-High,medicine|business|cs-data-ai,"Operating fees $4,000–$4,750 for Grades 9–12 (2025–26)",Admissions office,uca@universalcollege.edu.lb,American Diploma Program plus Lebanese track; Aley corridor USD capacity,2025-12-21,https://universalcollege.edu.lb/admission/?utm_source=openai
lb-hazmieh-antonines,Collège Notre Dame des Sœurs Antonines (Hazmieh–Jamhour),Hazmieh/Mount Lebanon,Mount Lebanon (Baabda),secondary,church/faith,Lebanese|French|IB,Medium,medicine|business,"Parent support $3,250 (S1–S3) / $3,550 (IB1–IB2) for 2025–26",,,Trilingual context; strong Greater Beirut reach,2025-12-21,https://antohj.b-cdn.net/wp/wp-content/uploads/2025/09/%D8%A7%D9%84%D8%A3%D9%82%D8%B3%D8%A7%D8%B7-%D8%A7%D9%84%D9%85%D8%AF%D8%B1%D8%B3%D9%8A%D8%A9-%D9%84%D9%84%D8%B9%D8%A7%D9%85-2025-2026.pdf
lb-adonis-lycee-marcel-pagnol,Lycée Français International Marcel Pagnol (LFIMP),Adonis–Zouk Mosbeh,Mount Lebanon (Keserwan),international,private,French,Medium-High,medicine|business,"Development fund $4,300 for lycée (2025–26)",Reception (verify counselor),accueil@lfimp.education,AEFE-partner lycée; Keserwan catchment,2025-12-21,https://www.lfimp.education/frais-de-scolarite/?utm_source=openai
lb-zouk-mosbeh-college-notre-dame-de-louaize,Collège Notre Dame de Louaizé,Zouk Mosbeh,Mount Lebanon (Keserwan),international,church/faith,French|Lebanese,Medium,medicine|business,"USD tuition $3,450–$3,930 for G10–G12 (2025–26)",Reception,info@cndl.edu.lb,Lebanese and foreign program tracks; AP option referenced,2025-12-21,https://www.cndl.edu.lb/fr/tuition-fees/?utm_source=openai
