stage,metric,value,unit,period,notes,as_of
awareness,count,,students,2026-Q1,Unique Bulgaria-source prospects with any tracked engagement (webinar/open day reg; brochure download; chat; lead form submit). Include both campuses. Dedupe by primary email/phone. Exclude anonymous traffic.,2025-12-22
leads,count,,students,2026-Q1,Unique new Bulgaria-source leads created in CRM in period with usable contact info. Include both campuses. Dedupe by primary email/phone. Exclude duplicates and test records.,2025-12-22
applications,count,,students,2026-Q1,Unique Bulgaria-source applicants with application status submitted (or later) in period. Dedupe by applicant_id/email. Exclude started/incomplete applications.,2025-12-22
offers,count,,students,2026-Q1,Unique Bulgaria-source applicants issued an offer in period. Count max 1 offer per applicant per intake (use latest decision). Exclude withdrawn before issuance.,2025-12-22
deposits,count,,students,2026-Q1,Unique Bulgaria-source offerholders who paid required deposit in period. Count max 1 per applicant per intake. Exclude failed payments and refunds processed within same period.,2025-12-22
enrollments,count,,students,2026-Q1,Unique Bulgaria-source students enrolled for an intake in period (registration confirmed per admissions/registry). Exclude deferrals to later intakes and cancellations before census.,2025-12-22
leads,conversion_rate,,%,2026-Q1,Lead capture rate into leads stage: leads_count / awareness_count for the same period. Use % in 0-100. Exclude anonymous awareness activity.,2025-12-22
applications,conversion_rate,,%,2026-Q1,Lead-to-application conversion into applications stage: applications_count / leads_count for the same period. Prefer cohort-by-intake when available. Use % in 0-100.,2025-12-22
offers,conversion_rate,,%,2026-Q1,Application-to-offer conversion into offers stage: offers_count / applications_count for the same period. Prefer cohort-by-intake when available. Use % in 0-100.,2025-12-22
deposits,conversion_rate,,%,2026-Q1,Offer-to-deposit conversion into deposits stage: deposits_count / offers_count for the same period. Use % in 0-100. Exclude refunds processed within same period.,2025-12-22
enrollments,conversion_rate,,%,2026-Q1,Deposit-to-enrollment conversion into enrollments stage: enrollments_count / deposits_count for the same period. Use % in 0-100. Exclude deferrals and pre-census cancellations.,2025-12-22
leads,cost_per,,EUR,2026-Q1,Cost per lead (CPL): paid_recruitment_spend_eur / leads_count for period. Include paid media + event fees allocated to Bulgaria. Exclude staff costs and agency commissions.,2025-12-22
applications,cost_per,,EUR,2026-Q1,Cost per application (CPA): paid_recruitment_spend_eur / applications_count for period. Same spend definition as CPL unless split tracked. Exclude staff costs and agency commissions.,2025-12-22
deposits,cost_per,,EUR,2026-Q1,Cost per deposit (CPD): paid_recruitment_spend_eur / deposits_count for period. Same spend definition as CPL unless split tracked. Exclude staff costs and agency commissions.,2025-12-22
enrollments,cost_per,,EUR,2026-Q1,Cost per enrollment (CPE): paid_recruitment_spend_eur / enrollments_count for period. Same spend definition as CPL unless split tracked. Exclude staff costs and agency commissions.,2025-12-22
offers,yield,,%,2026-Q1,Offer-to-enrollment yield: enrollments_count / offers_count for the same intake when possible (otherwise same period). Use % in 0-100. Exclude deferrals and pre-census cancellations.,2025-12-22
awareness,count,,students,2026-Q2,Unique Bulgaria-source prospects with any tracked engagement (webinar/open day reg; brochure download; chat; lead form submit). Include both campuses. Dedupe by primary email/phone. Exclude anonymous traffic.,2025-12-22
leads,count,,students,2026-Q2,Unique new Bulgaria-source leads created in CRM in period with usable contact info. Include both campuses. Dedupe by primary email/phone. Exclude duplicates and test records.,2025-12-22
