school_id,name,city,region,area,priority_tier,evidence_level,day_boarding,curricula,international_pathway,fee_basis,fee_note,affordability_fit,program_fit_tags,notes_short,sources,last_verified
ng-abeokuta-day-waterman,Day Waterman College,Abeokuta,Ogun State,Abeokuta,Tier2A,medium,boarding,british;cambridge-igcse;a-levels,Elite boarding school with international exam signaling,on-request,Fees on request,strong,medicine;business,Draws families from wider Southwest; verify schedule,report-20251220,2025-12-21
ng-abuja-aisa,American International School of Abuja (AISA),Abuja,Federal Capital Territory,Durumi,Tier1,medium,day,american;ap,American curriculum with AP,USD,USD fees widely reported; confirm current sheet,very-strong,medicine;business;cs-data-ai,Priority hard-currency target,report-20251220,2025-12-21
ng-abuja-ics,International Community School (ICS) Abuja,Abuja,Federal Capital Territory,Dakibiyu-Jabi,Tier1,medium,day,american;cambridge-igcse,Enriched American curriculum; IGCSE O-Level external exams; CIS/MSA accredited,USD,"USD 12,933-20,547 reported (2025); request official 2025/26 schedule from admissions",very-strong,medicine;business;cs-data-ai,USD fees + CIS/MSA accreditation; day school near Jabi; confirm counselor + advanced courses,report-20251220;https://www.icsabuja.com/;https://www.icsabuja.com/high-school/;https://www.icsabuja.com/contact/,2025-12-21
ng-abuja-lycee-francais,Lycée Français Marcel-Pagnol d’Abuja (LFMPA),Abuja,Federal Capital Territory,Kaura District,Tier1,high,day,french-bac,French curriculum; Collège + Lycée,NGN,"Collège ₦7,800,000; Lycée ₦8,700,000 + registration",strong,general;business,French pathway; high published NGN fees,report-20251220,2025-12-21
ng-abuja-el-amin,El-Amin International School Abuja,Abuja,Federal Capital Territory,Maitama area,Tier2A,medium,day,british,Premium brand positioning,NGN,Fee ranges reported; no official schedule,strong,general;business,Priority for direct confirmation,report-20251220,2025-12-21
ng-abuja-funtaj,Funtaj International School (Abuja campuses),Abuja,Federal Capital Territory,Asokoro-Gudu-Apo-Life Camp,Tier2A,opaque,day+boarding,premium,Premium multi-campus brand,on-request,Fees on request,strong,general;medicine,Confirm secondary fee band and boarding,report-20251220,2025-12-21
ng-abuja-lbis,Lead British International School (LBIS) Abuja,Abuja,Federal Capital Territory,Gwarinpa,Tier2A,medium,day+boarding,british;cambridge-igcse;a-levels,British-Nigerian blend with IGCSE/A-Level claims,NGN,"Up to ₦2,500,000 per term reported",strong,medicine;business;cs-data-ai,Confirm boarding availability and levies,report-20251220,2025-12-21
ng-abuja-centagon,The Centagon International School,Abuja,Federal Capital Territory,Maitama,Tier2A,opaque,day,british,Premium positioning in Maitama,not-published,Fees opaque; confirm directly,strong,business;cs-data-ai,Validate secondary scope and fees,report-20251220,2025-12-21
ng-abuja-regent-secondary,The Regent Secondary School Abuja,Abuja,Federal Capital Territory,Mabushi,Tier2A,medium,day+boarding,british;cambridge-igcse,British pathway with limited Year 11 entry,NGN,Fees reported; confirm day vs boarding totals,strong,business;cs-data-ai,Known premium brand; validate levies,report-20251220,2025-12-21
ng-abuja-bna,British Nigerian Academy (BNA),Abuja,Federal Capital Territory,Duboyi-Prince-and-Princess,Tier2B,medium,day+boarding,ib;british,IB listing plus premium boarding signals,NGN,"₦501,000-₦750,000 per term reported",moderate,general;medicine,Validate IB authorization and total cost,report-20251220,2025-12-21
ng-abuja-ntic,Nigerian Tulip International College (NTIC) Abuja,Abuja,Federal Capital Territory,Wuse II,Tier2B,medium,day,cambridge-igcse;a-levels,Cambridge IGCSE and A-Level positioning,NGN,"₦1,200,000-₦2,200,000 per term reported",strong,medicine;business,Verify day vs boarding options,report-20251220,2025-12-21
ng-abuja-wbs,Whiteplains British School (WBS),Abuja,Federal Capital Territory,Jabi,Tier2B,medium,day+boarding,british;cambridge-igcse,British pathway; IGCSE focus,NGN,"₦751,000-₦1,000,000 per term reported",moderate,general;business;cs-data-ai,Confirm current schedule and boarding surcharges,report-20251220,2025-12-21
ng-agbara-corona-secondary,Corona Secondary School (Agbara),Agbara,Ogun State,Agbara,Tier2A,medium,boarding,british;cambridge-igcse;a-levels,Elite boarding brand in extended Lagos catchment,on-request,Fees benchmarked publicly; confirm latest,strong,medicine;business,Premium Lagos feeder; validate official fees,report-20251220,2025-12-21
ng-asaba-patricia,Patricia High School (Patricia Group),Asaba,Delta State,Asaba,Tier3-proxy,proxy,day,cambridge-igcse;cambridge-as;ossd,Cambridge and OSSD pathway,not-published,Fees not verifiable publicly,validate,general;business,Strong international qualification proxy; validate fees,report-20251220,2025-12-21
ng-awka-british-spring,British Spring College,Awka,Anambra State,Awka,Tier2B,medium,day+boarding,cambridge-igcse;a-levels,IGCSE plus AS/A-Level signaling,NGN,"₦800,000 per term (est ₦2.4m/year) reported",moderate,business;cs-data-ai,Verify inclusions in termly amount,report-20251220,2025-12-21
ng-benin-igbinedion-education-centre,Igbinedion Education Centre (IEC),Benin City,Edo State,Central Benin corridor,Tier2B,medium,day+boarding,cambridge-igcse,Premium day and boarding structure with Cambridge signals,NGN,"₦799,900-₦1,350,000 per term (est ₦2.4m-₄.05m/year)",strong,business;medicine,High priority in Benin; verify what fees include,report-20251220,2025-12-21
ng-benin-upss,University of Benin Preparatory Secondary School (UPSS),Benin City,Edo State,Benin City,Tier2B,medium,day,nigerian,Upper class day structure,NGN,"₦840,000 per term (est ₦2,520,000/year) reported",moderate,general;business,Verify whether amounts are tuition-only,report-20251220,2025-12-21
ng-enugu-adorable-british,Adorable British College,Enugu,Enugu State,Enugu,Tier3-proxy,medium,boarding,cambridge-igcse,Cambridge signaling,NGN,"₦501,000-₦750,000 per term (est ₦1.503m-₂.25m/year)",moderate,general;business,Selective priority; validate boarding-inclusive totals,report-20251220,2025-12-21
ng-ibadan-caic,Christ Ambassadors International College (CAIC),Ibadan,Oyo State,Oluyole Estate,Tier2B,high,day+boarding,british;cambridge-igcse,Secondary entry from Year 7,NGN,"₦500,000-₦1,200,000 per term (est ₦1.5m-₃.6m/year)",moderate,general;business,Official range stated; check boarding-inclusive totals,report-20251220,2025-12-21
ng-ibadan-lifeforte,Lifeforte International High School,Ibadan,Oyo State,Awotan GRA-Apete,Tier2B,medium,boarding,british;cambridge-igcse,Boarding model with international positioning,NGN,"₦300,000-₦850,000 per term (est ₦900k-₂.55m/year)",moderate,medicine;business,Counseling-led outreach; validate boarding totals,report-20251220,2025-12-21
ng-ibadan-iis,Ibadan International School (IIS),Ibadan,Oyo State,Iyaganku,Tier3-proxy,opaque,day,cambridge-igcse,Cambridge senior school,on-request,Fees on request; international positioning,validate,general;business,Add to validation sprint for current fee band,report-20251220,2025-12-21
ng-ibadan-isi,"The International School, University of Ibadan (ISI)",Ibadan,Oyo State,University of Ibadan,Tier3-proxy,opaque,day,a-levels;cambridge-igcse,JS1-SS3 plus Advanced Level classes,not-published,Fees not disclosed; verify directly,validate,general;business,Confirm secondary and A-Level fee bands,report-20251220,2025-12-21
ng-iloko-olashore,Olashore International School,Iloko-Ijesa,Osun State,Iloko-Ijesa,Tier2A,proxy,boarding,british;cambridge-igcse,Elite boarding brand with international exam positioning,on-request,Fees typically on request,strong,medicine;business,Verify current fee schedule and levies,report-20251220,2025-12-21
ng-jos-hillcrest,Hillcrest School,Jos,Plateau State,Jos,Tier1,high,day,american;international,International school with hard-currency tuition,USD,Hard-currency tuition published,very-strong,medicine;business;cs-data-ai,One of the clearest non-Lagos/Abuja affordability signals,report-20251220,2025-12-21
ng-kaduna-essence,Essence International School,Kaduna,Kaduna State,Kaduna,Tier3-proxy,proxy,unknown,international,International-school positioning,not-published,Fees not published; validate directly,validate,general;business,Long-running brand; confirm affordability signals,report-20251220,2025-12-21
ng-kaduna-kadwel,Kadwel International Schools,Kaduna,Kaduna State,Kaduna,Tier3-proxy,proxy,boarding,british;sixth-form,British curriculum with sixth-form claim,not-published,Fees not published; boarding claimed,validate,general;business,Confirm boarding and Cambridge pathway,report-20251220,2025-12-21
ng-kaduna-zamani,Zamani College,Kaduna,Kaduna State,Kaduna,Tier3-proxy,proxy,unknown,cambridge-igcse;a-levels,Cambridge O-Level and A-Level pathway,not-published,Fees not published; elite secondary model,validate,general;business,Validate pathway volume and pricing,report-20251220,2025-12-21
ng-kano-lcisk,Lebanese Consulate International School Kano (LCISK),Kano,Kano State,Kano,Tier3-proxy,proxy,day+boarding,cambridge-igcse;cambridge-as;a-levels,Cambridge Checkpoint through A-Levels,not-published,Fees not published; strong Cambridge proxy,validate,general;business,Confirm boarding and fee band directly,report-20251220,2025-12-21
