month,theme,primary_channel,asset_type,owner,status,notes,as_of
2026-01,New year application starter kit (Athens vs Nicosia),instagram,carousel,BG Content Lead,planned,Audience: Grade 11-12; CTA: inquiry form; Campus: both,2025-12-22
2026-01,Virtual open day: program fit + costs (parents),events,webinar,BG Admissions Team,planned,Audience: parents; CTA: book 1:1 consult; Campus: both,2025-12-22
2026-01,CS/Data/AI/Cyber careers spotlight + labs tour,tiktok,video,Campus Marketing (Nicosia),planned,Audience: STEM prospects; CTA: register for virtual tour; Campus: Nicosia,2025-12-22
2026-02,Matura registration + subject-choice checklist,blog,blog,BG Admissions Team,planned,Audience: Grade 12; Timing: before late-Feb close; CTA: apply early/conditional,2025-12-22
2026-02,Scholarships early-bird explainer (UG + PG),facebook,carousel,BG Performance Marketing,planned,Audience: applicants + parents; CTA: scholarship eligibility quiz; Campus: both,2025-12-22
2026-02,Agent kit refresh: fees + FAQs + lead routing,agents,pdf,BG Partner/Agent Manager,planned,Audience: partner agents; Deliverable: 1-pager + FAQ; Campus: both,2025-12-22
2026-03,Counselor briefing: entry requirements + timeline (BG calendar),events,webinar,BG Admissions Team,planned,Audience: school counselors; CTA: schedule school talk; Campus: both,2025-12-22
2026-03,Medicine/MD admissions timeline + recognition FAQ,youtube,video,Campus Marketing (Nicosia),planned,Audience: high-intent Medicine; CTA: book advisor call; Campus: Nicosia,2025-12-22
2026-03,Student story: why Athens (city + internships),instagram,video,Campus Marketing (Athens),planned,Audience: UG prospects; CTA: attend virtual open day; Campus: Athens,2025-12-22
2026-04,Study abroad budget planner for BG families,email,pdf,BG Content Lead,planned,Audience: parents; CTA: download + book consult; Campus: both,2025-12-22
2026-04,Psychology/Counselling meet-the-faculty Q&A,events,webinar,Campus Marketing (Nicosia),planned,Audience: Psychology prospects; CTA: apply/submit questions; Campus: Nicosia,2025-12-22
2026-04,How to choose a major: CS vs Business vs Psychology,tiktok,video,BG Content Lead,planned,Audience: undecided Grade 11-12; CTA: program quiz; Campus: both,2025-12-22
2026-05,Matura week wellbeing + reassurance from current students,instagram,story,BG Content Lead,planned,Light-touch during exams; CTA: save post-exam checklist; Campus: both,2025-12-22
2026-05,After-exam checklist: documents + translations + next steps,blog,blog,BG Admissions Team,planned,Light-touch; CTA: book document review slot; Campus: both,2025-12-22
2026-05,Parents email: conditional offers and what to do after Matura,email,email,BG Admissions Team,planned,Light-touch; CTA: join June document clinic; Campus: both,2025-12-22
2026-06,Results-day document clinic: upload pack + Q&A,events,webinar,BG Admissions Team,planned,Supportive tone; CTA: book document review slot; Campus: both,2025-12-22
2026-06,Offerholder checklist: housing + arrival timeline,email,pdf,BG Admissions Team,planned,Supportive tone; Segment: offerholders; Campus: both,2025-12-22
2026-06,Grade 11 pipeline: start early for 2027 intake,facebook,carousel,BG Performance Marketing,planned,Audience: Grade 11 parents; CTA: join July info session; Campus: both,2025-12-22
2026-07,48-hour application sprint (daily stories + DM office hours),instagram,story,BG Admissions Team,planned,Peak conversion; CTA: submit docs; Campus: both,2025-12-22
2026-07,Visa and residence steps: Cyprus vs Greece (timeline),youtube,video,BG Admissions Team,planned,Peak conversion; CTA: download visa checklist; Campus: both,2025-12-22
2026-07,Agent conversion push: offer acceptance script + WhatsApp templates,agents,pdf,BG Partner/Agent Manager,planned,Peak conversion; Deliverable: scripts + objection handling; Campus: both,2025-12-22
2026-08,Retake track: keep your options open after August resits,email,email,BG Admissions Team,planned,Segment: retakers; CTA: conditional path consult; Campus: both,2025-12-22
2026-08,September intake readiness webinar (arrival + enrollment steps),events,webinar,BG Admissions Team,planned,Audience: offerholders; CTA: book arrival slot; Campus: both,2025-12-22
2026-08,Housing and arrival checklist (Nicosia and Athens),blog,blog,BG Content Lead,planned,Audience: offerholders + parents; CTA: download checklist; Campus: both,2025-12-22
