school_id,name,city,region,type,ownership,contact_name,contact_email,notes,as_of
sch-bg-blagoevgrad-blagoevgrad-eg-acad-lyudmil-stoyanov,Езикова гимназия „Акад. Людмил Стоянов“,Blagoevgrad,Blagoevgrad Province,gymnasium,public,,info-100190@edu.mon.bg,Selective language gymnasium with outbound focus.,2025-12-21
sch-bg-burgas-burgas-aeg-geo-milev,АЕГ „Гео Милев“,Burgas,Burgas Province,gymnasium,public,,office@gpaeburgas.org,Selective language gymnasium with outbound focus.,2025-12-21
sch-bg-burgas-burgas-neg-goethe,Немска езикова гимназия „Гьоте“ – Бургас,Burgas,Burgas Province,gymnasium,public,,office@neg-goethe.org,Selective language gymnasium with outbound focus.,2025-12-21
sch-bg-burgas-burgas-ppmg-acad-nikola-obreshkov,Природо-математическа гимназия „Акад. Никола Обрешков“ – Бургас,Burgas,Burgas Province,gymnasium,public,,,Selective STEM/math gymnasium; target medicine/CS leads.,2025-12-21
sch-bg-haskovo-haskovo-eg-asen-zlatarov,ЕГ „Проф. д-р Асен Златаров“,Haskovo,Haskovo Province,gymnasium,public,,,Selective language gymnasium with outbound focus.,2025-12-21
sch-bg-kyustendil-kyustendil-eg-dr-petar-beron,Езикова гимназия „Д-р Петър Берон“,Kyustendil,Kyustendil Province,gymnasium,public,,info-1000540@edu.mon.bg,Selective language gymnasium with outbound focus.,2025-12-21
sch-bg-pernik-pernik-gpce-simeon-radev,Гимназия с преподаване на чужди езици „Симеон Радев“,Pernik,Pernik Province,gymnasium,public,,info-1403220@edu.mon.bg,Selective language gymnasium with outbound focus.,2025-12-21
sch-bg-plovdiv-eg-ivan-vazov,Езикова гимназия „Иван Вазов“,Plovdiv,Plovdiv Province,gymnasium,public,,egiv_pld@abv.bg,Selective language gymnasium with outbound focus.,2025-12-21
sch-bg-plovdiv-eg-plovdiv,Езикова гимназия „Пловдив“,Plovdiv,Plovdiv Province,gymnasium,public,,ezikova_gimnazia_plovdiv@eg-plovdiv.com,Selective language gymnasium with outbound focus.,2025-12-21
sch-bg-plovdiv-mg-kiril-popov,Математическа гимназия „Акад. Кирил Попов“,Plovdiv,Plovdiv Province,gymnasium,public,,omg@omg-bg.com,Selective STEM/math gymnasium; target medicine/CS leads.,2025-12-21
