school_id,stage,last_touch_date,next_touch_date,owner,notes,as_of
sch-rs-belgrade-isb-001,meeting_scheduled,2025-12-19,2026-01-16,Serbia outreach lead,"Counselor confirmed Jan 16 visit; bring dual-campus scholarships slide.",2025-12-22
sch-rs-belgrade-boskovic-ib-002,call_scheduled,2025-12-18,2025-12-27,Belgrade outreach pod,"Need follow-up call to align with IB DP timeline; share Medicine video.",2025-12-22
sch-rs-belgrade-chartwell-003,intro_email_sent,2025-12-17,2025-12-30,Belgrade outreach pod,"Awaiting response; escalate via Viber if no reply by Dec 27.",2025-12-22
sch-rs-belgrade-savremena-int-004,visit_completed,2025-12-12,2026-01-05,Serbia outreach lead,"Student session done; send counselor toolkit and Athens housing FAQ.",2025-12-22
sch-rs-belgrade-koledz-005,agent_coordination,2025-12-15,2026-01-08,Agent manager (Belgrade),"Need sports coach intro via basketball partner; confirm co-host.",2025-12-22
sch-rs-belgrade-efb-006,targeting,,2025-12-28,Belgrade outreach pod,"Prep intro email referencing French Bac mobility.",2025-12-22
sch-rs-belgrade-dsb-007,intro_email_sent,2025-12-14,2025-12-27,Belgrade outreach pod,"Requested data on German Abitur vs UNIC pathways; follow with recognition brief.",2025-12-22
sch-rs-belgrade-bis-008,research,,2026-01-03,Serbia outreach analyst,"Need counselor contact from alumni parent; verify soonest visit slot.",2025-12-22
sch-rs-belgrade-prima-009,call_completed,2025-12-16,2026-01-04,Serbia outreach lead,"Counselor asked for combined Athens + Nicosia presentation deck.",2025-12-22
sch-rs-belgrade-brookhill-010,intro_email_sent,2025-12-13,2026-01-06,Belgrade outreach pod,"Follow up for Jan 9 slot; mention CS/AI labs.",2025-12-22
sch-rs-belgrade-crnjanski-ib-011,visit_scheduled,2025-12-19,2026-01-22,Serbia outreach lead,"IB DP coordinator wants February medicine masterclass; confirm date.",2025-12-22
sch-rs-belgrade-westbridge-012,call_attempted,2025-12-18,2025-12-24,Belgrade outreach pod,"Left voicemail; use email + Viber to secure meeting.",2025-12-22
sch-rs-belgrade-valentina-tereskova-013,targeting,,2026-01-10,Serbia outreach analyst,"Need Russian-language collateral from Marketing.",2025-12-22
sch-rs-novi-sad-clever-014,meeting_scheduled,2025-12-20,2026-01-24,Novi Sad outreach pod,"Bundle with agent travel; highlight full scholarships case study.",2025-12-22
sch-rs-jagodina-crnjanski-int-015,agent_coordination,2025-12-15,2026-01-19,Central Serbia outreach pod,"Agent to pre-brief school director; align on boarding + visa Q&A.",2025-12-22
