competitor_id,name,home_country,target_programs,rs_presence,notes,as_of
comp-rs-med-belgrade,University of Belgrade - Faculty of Medicine,RS,medicine,rep_office,"English-taught MD with €8,000 annual tuition and €140 application fee; entrance exams run locally (https://studiesinenglish.med.bg.ac.rs/studies-in-english/fees)",2025-12-22
comp-rs-med-nis,University of Niš - Faculty of Medicine,RS,medicine,rep_office,"Six-year English MD priced at €6,000 per year with a €50 application fee, keeping costs below most regional private options (https://www.medfak.ni.ac.rs/index.php/en/fees-en)",2025-12-22
comp-gr-auth-md,Aristotle University of Thessaloniki - English MD,GR,medicine,digital_only,"English-language MD limits intake to 60 seats and charges €12,000 per year in two instalments, requiring B2 English proof (https://aristotlemedical.edu.gr/index.php/admission-fees)",2025-12-22
comp-hu-semmelweis,Semmelweis University (Hungary),HU,medicine,digital_only,"General Medicine tuition is USD 9,950 per semester for 2025 entrants, alongside entrance exams covering biology, chemistry and English (https://semmelweis.hu/registrar/faq/how-much-is-the-tuition-fee-per-semester/)",2025-12-22
comp-cy-euc-med,European University Cyprus - School of Medicine,CY,medicine,digital_only,"Applicants confirm enrollment with an €11,500 down payment toward the €23,000 annual MD tuition and interview-driven admissions (https://euc.ac.cy/en/admissions/how-to-apply/medical/)",2025-12-22
comp-nl-utwente-cs,University of Twente - Technical Computer Science,NL,cs;ai;cyber,digital_only,"English-taught BSc lists €2,601 statutory tuition for EU/EEA students and €13,000 for non-EU students in 2025-26 (https://www.utwente.nl/en/education/bachelor/programmes/technical-computer-science/enrolment/tuition-fees/)",2025-12-22
comp-nl-tue-cse,Eindhoven University of Technology - Computer Science and Engineering,NL,cs;ai;cyber,digital_only,"Program advertises €2,601 statutory tuition and €18,000 institutional tuition for 2025-26 cohorts (https://www.studyinnl.org/dutch-education/studies/computer-science-and-engineering-840-eindhoven-university-of-technology)",2025-12-22
comp-nl-vu-cs,Vrije Universiteit Amsterdam - Computer Science,NL,cs;ai;cyber,digital_only,"VU lists €2,601 tuition for EU/EEA students and €19,110 for non-EU applicants with a 15 January deadline (https://www.studyinnl.org/dutch-education/studies/computer-science-1209-vrije-universiteit-amsterdam)",2025-12-22
comp-cz-ctu-oi,Czech Technical University in Prague - Open Informatics,CZ,cs;ai;cyber,digital_only,"Full-time English BSc charges CZK 128,000 (~€5,125) per academic year with AI, cybersecurity and HCI tracks (https://studyatctu.com/programme/open-informatics/)",2025-12-22
comp-hu-bme-cs,Budapest University of Technology and Economics - Computer Science Engineering,HU,cs;ai;cyber,digital_only,"BME publishes €3,200 per semester tuition for non-EU computer science engineering students (https://xplore.bme.hu/tuition-fees/)",2025-12-22
comp-bg-aubg,American University in Bulgaria,BG,business;marketing;cs,digital_only,"Tuition for 2025-26 is €6,700 per semester plus €320 activity fee, with 93% of BA students receiving aid (https://www.aubg.edu/bg/%D0%BF%D1%80%D0%B8%D0%B5%D0%BC/%D0%B1%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%8A%D1%80/%D1%82%D0%B0%D0%BA%D1%81%D0%B8-%D0%BF%D0%BE%D0%B4%D0%BA%D1%80%D0%B5%D0%BF%D0%B0/)",2025-12-22
comp-rs-singidunum,Singidunum University,RS,business;marketing,rep_office,"Local private university advertising €2,100 annual tuition for Serbian-language master tracks and tuition waivers for top-GPA students (https://pfb.singidunum.ac.rs/page/master-skolarine-i-tekuci-racuni)",2025-12-22
comp-it-bocconi,Bocconi University - International Economics and Management,IT,business;finance;marketing,digital_only,"BSc International Economics and Management tuition is €16,700 per year for 2025-26 entrants (https://ischoolconnect.com/blog/all-about-bocconi-universitys-fees-and-more/)",2025-12-22
comp-nl-rsm-iba,Rotterdam School of Management - BSc International Business Administration,NL,business;finance;marketing,digital_only,"IBA charges €2,695 for EEA students and €14,000 for non-EEA students with a 15 January application deadline (https://www.rsm.nl/education/bachelor/bsc-international-business-administration-iba/)",2025-12-22
comp-at-wu-bbe,Vienna University of Economics and Business - BSc Business and Economics,AT,business;economics,digital_only,"Standard tuition is €363.36 per semester for EU/EEA students and €726.72 for non-EU students during the degree (https://www.educations.com/institutions/wu-vienna/bsc-in-business-and-economics)",2025-12-22
