category,sub_category,period,amount_eur,assumptions,owner,notes,as_of
digital_media,meta_tiktok_prospecting,2026-Q1,16000,"2400 TOF leads @ 6.5 EUR CPL via Meta and TikTok broad plus lookalike; includes 2000 EUR creative testing",Marketing (Serbia),"Aligns with channel CPC guardrail ahead of Feb fairs",2025-12-22
digital_media,meta_tiktok_prospecting,2026-Q2,12000,"1800 TOF leads @ 6.5 EUR CPL during exams lull; scale down 25 percent vs Q1",Marketing (Serbia),"Keeps CPL inside benchmark while freeing funds for fairs",2025-12-22
digital_media,meta_tiktok_prospecting,2026-Q3,15000,"2300 leads @ 6.5 EUR CPL to warm fall intake before Sept fairs",Marketing (Serbia),"Push Serbian and diaspora creatives before WEF fall",2025-12-22
digital_media,meta_tiktok_prospecting,2026-Q4,19000,"2900 leads @ 6.5 EUR CPL covering Oct through Dec last call messaging",Marketing (Serbia),"Supports Jan 2027 intake bridging with Athens angle",2025-12-22
digital_media,google_search_youtube_performance,2026-Q1,9000,"600 high intent leads @ 15 EUR CPL (0.6 EUR CPC with 10 percent CVR)",Marketing (Serbia),"Brand and program keywords plus Video Action retargeting",2025-12-22
digital_media,google_search_youtube_performance,2026-Q2,7000,"450 leads @ 15.5 EUR CPL while maintaining share on medicine and CS terms",Marketing (Serbia),"April and May budgets trimmed 20 percent vs Q1",2025-12-22
digital_media,google_search_youtube_performance,2026-Q3,8500,"550 leads @ 15.5 EUR CPL to defend brand queries during results season",Marketing (Serbia),"Adds YouTube cutdowns with Serbian subtitles",2025-12-22
digital_media,google_search_youtube_performance,2026-Q4,10500,"650 leads @ 16 EUR CPL (0.7 EUR CPC with 11 percent CVR)",Marketing (Serbia),"Includes 1000 EUR Smart Bidding tests",2025-12-22
digital_media,remarketing_display_linkedin,2026-Q1,3000,"Monthly 1000 EUR retargeting stack (GDN plus LinkedIn parents) @ 3 EUR CPM and 35 EUR CPL",Marketing (Serbia),"Doc ads for counselor kits timed with Jan webinars",2025-12-22
digital_media,remarketing_display_linkedin,2026-Q2,3000,"Maintain 1000 EUR per month nurture to recycle fair leads; expect 80 counselor form fills",Marketing (Serbia),"Focus on scholarship messaging post EBB spring",2025-12-22
digital_media,remarketing_display_linkedin,2026-Q3,3500,"Increase to 1200 EUR per month ahead of autumn fairs; target 90 counselor downloads",Marketing (Serbia),"Add alumni testimonial doc ads",2025-12-22
digital_media,remarketing_display_linkedin,2026-Q4,3500,"Sustain 1200 EUR per month plus holiday top ups; expect 95 counselor toolkit requests",Marketing (Serbia),"Supports EducationUSA follow ups",2025-12-22
