event_id,name,city,country,start_date,end_date,organizer,format,focus,expected_attendance,notes,as_of
event-bg-sofia-world-education-fair-integral,World Education Fair (Integral),Sofia,BG,,,Integral,in-person,International study expo,,priority: must-do; timing: Feb/Mar (spring) & Sep/Oct (fall) (typical); duration: 1-2 days; pricing_eur: 1500-3000 per city; leads: 400-700 scans per priority city (seasonal); website: https://www.world-education.eu/en/; source: calendar-2025-2026.md; profile: profiles/world-education-fair.md,2025-12-22
event-bg-varna-world-education-fair-integral,World Education Fair (Integral),Varna,BG,,,Integral,in-person,International study expo,,priority: must-do; timing: Feb/Mar (spring) & Sep/Oct (fall) (typical); duration: 1-2 days; pricing_eur: 1500-3000 per city; leads: 400-700 scans per priority city (seasonal); website: https://www.world-education.eu/en/; source: calendar-2025-2026.md; profile: profiles/world-education-fair.md,2025-12-22
event-bg-plovdiv-world-education-fair-integral,World Education Fair (Integral),Plovdiv,BG,,,Integral,in-person,International study expo,,priority: must-do; timing: Feb/Mar (spring) & Sep/Oct (fall) (typical); duration: 1-2 days; pricing_eur: 1500-3000 per city; leads: 400-700 scans per priority city (seasonal); website: https://www.world-education.eu/en/; source: calendar-2025-2026.md; profile: profiles/world-education-fair.md,2025-12-22
event-bg-burgas-world-education-fair-integral,World Education Fair (Integral),Burgas,BG,,,Integral,in-person,International study expo,,priority: must-do; timing: Feb/Mar (spring) & Sep/Oct (fall) (typical); duration: 1-2 days; note: some seasons drop Burgas; pricing_eur: 1500-3000 per city; leads: 400-700 scans per priority city (seasonal); website: https://www.world-education.eu/en/; source: calendar-2025-2026.md; profile: profiles/world-education-fair.md,2025-12-22
event-bg-sofia-education-beyond-borders-ebb,Education Beyond Borders (EBB) - Sofia,Sofia,BG,,,Education Beyond Borders (EBB),in-person,International education exhibition,,priority: must-do; timing: Mar/Apr (spring) & Oct/Nov (fall) (typical); venue: Inter Expo Center; pricing_eur: 1700-2800; reach: ~5000 visitors (2 days); leads: 300-500 qualified scans; website: https://edu-fair.info/en/; source: calendar-2025-2026.md; profile: profiles/education-beyond-borders.md,2025-12-22
event-bg-sofia-educationusa-fulbright-college-fair,EducationUSA / Fulbright College Fair - Sofia,Sofia,BG,,,Fulbright Bulgaria (EducationUSA),in-person,English-medium pathways,,priority: must-do; timing: Oct (typical); pricing_eur: 0-300 (often free); reach: 400-600 students; counselor: 30-60; website: https://www.fulbright.bg/; source: calendar-2025-2026.md; profile: profiles/educationusa-college-fair-sofia.md,2025-12-22
event-bg-sofia-qs-discover-connect,QS Discover & Connect - Sofia,Sofia,BG,,,QS,in-person,UG + masters recruitment,,priority: consider; timing: Mar & Oct (typical); pricing_eur: 2500-3500; reach: 400-700 registrants; leads: 150-300 qualified (grad-heavy); website: https://www.qs.com/; source: calendar-2025-2026.md; profile: profiles/qs-discover-connect-sofia.md,2025-12-22
event-bg-sofia-srt-fairs-bulgaria-tour,SRT Fairs Bulgaria Tour,Sofia,BG,,,SRT Fairs,in-person,High-school recruitment tour,,priority: consider; timing: Mar/Apr (spring) & Oct (fall) (typical); pricing_eur: 1600-2200 per city; reach: 300-600 students; leads: 150-250 qualified per city; website: https://srtfairs.com/; source: calendar-2025-2026.md; profile: profiles/srt-fairs-bulgaria-tour.md,2025-12-22
event-bg-varna-plovdiv-srt-fairs-bulgaria-tour,SRT Fairs Bulgaria Tour,Varna/Plovdiv (rotating),BG,,,SRT Fairs,in-person,High-school recruitment tour,,priority: consider; timing: Mar/Apr (spring) & Oct (fall) (typical); note: second stop rotates by year; pricing_eur: 1600-2200 per city; reach: 300-600 students; leads: 150-250 qualified per city; website: https://srtfairs.com/; source: calendar-2025-2026.md; profile: profiles/srt-fairs-bulgaria-tour.md,2025-12-22
event-bg-sofia-begin-group-international-education-fair,Begin Group International Education Fair - Sofia,Sofia,BG,,,Begin Group,in-person,International education fair,,priority: consider; timing: Feb & Oct (typical); pricing_eur: 1300-1800; reach: 400-800 visitors; leads: 120-220 qualified; website: https://www.begingroup.com/; source: calendar-2025-2026.md; profile: profiles/begin-group-education-fair-sofia.md,2025-12-22
event-bg-sofia-unify-study-abroad-roadshow,Unify Study Abroad Roadshow,Sofia,BG,,,Unify Bulgaria,in-person,Agency roadshow,,priority: consider; timing: Mar/Apr (spring) & Oct/Nov (autumn) (typical); pricing_eur: 700-1500 per city; reach: 100-300 per city; website: https://unify.bg/; source: calendar-2025-2026.md; profile: profiles/unify-study-abroad-roadshow.md,2025-12-22
event-bg-varna-unify-study-abroad-roadshow,Unify Study Abroad Roadshow,Varna,BG,,,Unify Bulgaria,in-person,Agency roadshow,,priority: consider; timing: Mar/Apr (spring) & Oct/Nov (autumn) (typical); pricing_eur: 700-1500 per city; reach: 100-300 per city; website: https://unify.bg/; source: calendar-2025-2026.md; profile: profiles/unify-study-abroad-roadshow.md,2025-12-22
event-bg-online-integral-virtual-education-fair,Integral Virtual Education Fair,Online,BG,,,Integral,virtual,Virtual education fair,,priority: consider; timing: May/Jun & Nov (typical); pricing_eur: 500-1000 per virtual day; reach: 500-1000 registrants; chats: 150-250 engaged; website: https://www.world-education.eu/en/; source: calendar-2025-2026.md; profile: profiles/integral-virtual-education-fair.md,2025-12-22
event-bg-sofia-regional-balkan-cee-counselor-forums,Balkan / CEE counselor forums and virtual fairs,Sofia/Regional (varies),BG,,,Various (BMI/CIS/EAC),hybrid,Counselor networking,,priority: monitor; timing: 1-2 per year (varies); pricing_eur: 0-1500; reach: 150-400 counselors/students; source: calendar-2025-2026.md; profile: profiles/balkan-counselor-forums.md,2025-12-22
